start	end	text
0	8600	Lanza a un subagente para hacer una investigación de cómo podríamos utilizar agentes OpenCloud
8600	16400	o otra plataforma similar para ayudar en las tareas de una empresa de tasación de viviendas
16400	18000	en España.
18000	26600	Las tareas principales deberían ser valoración aproximada de inmuebles por solicitud de un
26600	32800	cliente, es decir, no llega a ser una tasación tan solo una valoración aproximada.
32800	40440	Ayuda o soporte a la tasación oficial del tasador con elaboración de informes, recopilación
40440	45000	de información previa o cualquier otra cosa que veamos que podemos hacer.
45000	52360	Y la tercera, revisiones de valores catastrales para presentar reclamaciones por temas de
52360	53360	impuestos.
53360	61440	Investigá, busca información y prepara un proyecto o un plan donde detalle lo que se
61440	67400	podría hacer y las plataformas, herramientas y recursos que pudiéramos necesitar.
